year,iso3,port_name,label,vessel_class,type,flag,is_pacific_rim,is_psma_port,is_psma_state,n_visits,n_visits_fishing_vessel,n_visits_fishing_vessel_hs,n_visits_support_vessel,n_visits_support_vessel_hs
2024,CHN,,CHN-2478,bunker,domestic,CHN,0,0,0,3,0,0,3,0
2024,CHN,,SHANHAIGUAN,bunker,domestic,CHN,1,0,0,401,0,0,401,0
2024,CHN,,DONGJIAKOU,bunker,domestic,CHN,1,0,0,1341,0,0,1341,0
2024,CHN,,CHANGXINGDAO,fishing,domestic,CHN,1,0,0,1487,1487,0,0,0
2024,CHN,,CHN-2317,fishing,domestic,CHN,1,0,0,1115,1115,0,0,0
2024,CHN,,XIAMEN,fishing,domestic,CHN,1,0,0,3166,3166,0,0,0
2024,CHN,,CHN-1967,fishing,domestic,CHN,1,0,0,302,302,0,0,0
2024,CHN,,YANTIAN,bunker,domestic,CHN,1,0,0,1606,0,0,1606,0
2024,CHN,,YANGSHAN,bunker,domestic,CHN,1,0,0,5771,0,0,5771,0
2024,CHN,,CHN-639,bunker,domestic,CHN,0,0,0,6,0,0,6,0
2024,CHN,,CHN-2370,bunker,domestic,CHN,1,0,0,320,0,0,320,0
2024,CHN,,CHANGDAO,fishing,domestic,CHN,1,0,0,1456,1456,0,0,0
2024,CHN,,WENZHOU,fishing,domestic,CHN,1,0,0,3138,3138,0,0,0
2024,CHN,,SHUIDONG,bunker,domestic,CHN,1,0,0,1380,0,0,1380,0
2024,CHN,,MAJISHAN,bunker,domestic,CHN,1,0,0,2211,0,0,2211,0
2024,CHN,,SHEKOU,bunker,domestic,CHN,1,0,0,644,0,0,644,0
2024,CHN,,CHN-2349,fishing,domestic,CHN,1,0,0,349,349,0,0,0
2024,CHN,,LIANJIANG,fishing,domestic,CHN,1,0,0,1861,1861,0,0,0
2024,CHN,,CHN-2088,fishing,domestic,CHN,1,0,0,404,404,0,0,0
2024,CHN,,CHN-94,fishing,domestic,CHN,1,0,0,558,558,0,0,0
2024,CHN,,SHANTOU,fishing,domestic,CHN,1,0,0,4200,4200,0,0,0
2024,CHN,,FANGCHENG,bunker,domestic,CHN,1,0,0,861,0,0,861,0
2024,CHN,,CHN-189,bunker,domestic,CHN,1,0,0,103,0,0,103,0
2024,CHN,,HUIZHOU,bunker,domestic,CHN,1,0,0,3110,0,0,3110,0
2024,CHN,,CHN-2236,fishing,domestic,CHN,1,0,0,532,532,0,0,0
2024,CHN,,CHN-2382,fishing,domestic,CHN,1,0,0,808,808,0,0,0
2024,CHN,,LAIZHOU,fishing,domestic,CHN,1,0,0,1532,1532,0,0,0
2024,CHN,,CHN-2317,bunker,domestic,CHN,1,0,0,188,0,0,188,0
2024,CHN,,GULEI,bunker,domestic,CHN,1,0,0,482,0,0,482,0
2024,CHN,,CHN-1569,fishing,domestic,CHN,1,0,0,132,132,0,0,0
2024,CHN,,CHN-2366,fishing,domestic,CHN,1,0,0,1501,1501,0,0,0
2024,CHN,,SANMEN ISLAND,fishing,domestic,CHN,1,0,0,905,905,0,0,0
2024,CHN,,BOHE,fishing,domestic,CHN,1,0,0,3055,3055,0,0,0
2024,CHN,,LAMMA ISLAND,fishing,domestic,CHN,1,0,0,880,880,0,0,0
2024,CHN,,CHN-2284,fishing,domestic,CHN,1,0,0,270,270,0,0,0
2024,CHN,,CHN-2046,fishing,domestic,CHN,1,0,0,274,274,0,0,0
2024,CHN,,YANTAI,bunker,domestic,CHN,1,0,0,6843,0,0,6843,0
2024,CHN,,FUZHOU,fishing,domestic,CHN,1,0,0,1150,1150,0,0,0
2024,CHN,,TAIZHOU,bunker,domestic,CHN,1,0,0,1222,0,0,1222,0
2024,CHN,,PISHANDAO,fishing,domestic,CHN,1,0,0,452,452,0,0,0
2024,CHN,,HONGKONG,fishing,domestic,CHN,1,0,0,4559,4559,0,0,0
2024,CHN,,CHN-304,fishing,domestic,CHN,1,0,0,2163,2163,0,0,0
