FID_1,LATITUDE,LONGITUDE,FID_2,F_AREA
1613,22.50000000000,-32.50000000000,4,34
1614,22.50000000000,-27.50000000000,4,34
1615,22.50000000000,-22.50000000000,4,34
1616,22.50000000000,-17.50000000000,4,34
1684,27.50000000000,-37.50000000000,4,34
1685,27.50000000000,-32.50000000000,4,34
1686,27.50000000000,-27.50000000000,4,34
1687,27.50000000000,-22.50000000000,4,34
1688,27.50000000000,-17.50000000000,4,34
1756,32.50000000000,-37.50000000000,4,34
1757,32.50000000000,-32.50000000000,4,34
1758,32.50000000000,-27.50000000000,4,34
1759,32.50000000000,-22.50000000000,4,34
1760,32.50000000000,-17.50000000000,4,34
1761,32.50000000000,-12.50000000000,4,34
1767,32.50000000000,17.50000000000,5,37
1769,32.50000000000,27.50000000000,5,37
1770,32.50000000000,32.50000000000,5,37
1836,37.50000000000,2.50000000000,5,37
1837,37.50000000000,7.50000000000,5,37
1838,37.50000000000,12.50000000000,5,37
1839,37.50000000000,17.50000000000,5,37
1909,42.50000000000,7.50000000000,5,37
1911,42.50000000000,17.50000000000,5,37
1913,42.50000000000,27.50000000000,5,37
1914,42.50000000000,32.50000000000,5,37
1915,42.50000000000,37.50000000000,5,37
455,-57.50000000000,-62.50000000000,6,41
456,-57.50000000000,-57.50000000000,6,41
457,-57.50000000000,-52.50000000000,6,41
526,-52.50000000000,-67.50000000000,6,41
527,-52.50000000000,-62.50000000000,6,41
528,-52.50000000000,-57.50000000000,6,41
529,-52.50000000000,-52.50000000000,6,41
599,-47.50000000000,-62.50000000000,6,41
600,-47.50000000000,-57.50000000000,6,41
601,-47.50000000000,-52.50000000000,6,41
602,-47.50000000000,-47.50000000000,6,41
603,-47.50000000000,-42.50000000000,6,41
604,-47.50000000000,-37.50000000000,6,41
605,-47.50000000000,-32.50000000000,6,41
606,-47.50000000000,-27.50000000000,6,41
607,-47.50000000000,-22.50000000000,6,41
671,-42.50000000000,-62.50000000000,6,41
672,-42.50000000000,-57.50000000000,6,41
673,-42.50000000000,-52.50000000000,6,41
674,-42.50000000000,-47.50000000000,6,41
675,-42.50000000000,-42.50000000000,6,41
676,-42.50000000000,-37.50000000000,6,41
677,-42.50000000000,-32.50000000000,6,41
678,-42.50000000000,-27.50000000000,6,41
679,-42.50000000000,-22.50000000000,6,41
745,-37.50000000000,-52.50000000000,6,41
746,-37.50000000000,-47.50000000000,6,41
747,-37.50000000000,-42.50000000000,6,41
748,-37.50000000000,-37.50000000000,6,41
749,-37.50000000000,-32.50000000000,6,41
750,-37.50000000000,-27.50000000000,6,41
751,-37.50000000000,-22.50000000000,6,41
818,-32.50000000000,-47.50000000000,6,41
819,-32.50000000000,-42.50000000000,6,41
820,-32.50000000000,-37.50000000000,6,41
821,-32.50000000000,-32.50000000000,6,41
822,-32.50000000000,-27.50000000000,6,41
823,-32.50000000000,-22.50000000000,6,41
890,-27.50000000000,-47.50000000000,6,41
891,-27.50000000000,-42.50000000000,6,41
892,-27.50000000000,-37.50000000000,6,41
893,-27.50000000000,-32.50000000000,6,41
894,-27.50000000000,-27.50000000000,6,41
895,-27.50000000000,-22.50000000000,6,41
964,-22.50000000000,-37.50000000000,6,41
965,-22.50000000000,-32.50000000000,6,41
966,-22.50000000000,-27.50000000000,6,41
967,-22.50000000000,-22.50000000000,6,41
1036,-17.50000000000,-37.50000000000,6,41
1037,-17.50000000000,-32.50000000000,6,41
1038,-17.50000000000,-27.50000000000,6,41
1039,-17.50000000000,-22.50000000000,6,41
1108,-12.50000000000,-37.50000000000,6,41
1109,-12.50000000000,-32.50000000000,6,41
1110,-12.50000000000,-27.50000000000,6,41
1111,-12.50000000000,-22.50000000000,6,41
1181,-7.50000000000,-32.50000000000,6,41
1182,-7.50000000000,-27.50000000000,6,41
1183,-7.50000000000,-22.50000000000,6,41
1251,-2.50000000000,-42.50000000000,6,41
1252,-2.50000000000,-37.50000000000,6,41
1253,-2.50000000000,-32.50000000000,6,41
1254,-2.50000000000,-27.50000000000,6,41
1255,-2.50000000000,-22.50000000000,6,41
1322,2.50000000000,-47.50000000000,6,41
1323,2.50000000000,-42.50000000000,6,41
1324,2.50000000000,-37.50000000000,6,41
1325,2.50000000000,-32.50000000000,6,41
608,-47.50000000000,-17.50000000000,7,47
609,-47.50000000000,-12.50000000000,7,47
610,-47.50000000000,-7.50000000000,7,47
611,-47.50000000000,-2.50000000000,7,47
612,-47.50000000000,2.50000000000,7,47
613,-47.50000000000,7.50000000000,7,47
614,-47.50000000000,12.50000000000,7,47
615,-47.50000000000,17.50000000000,7,47
616,-47.50000000000,22.50000000000,7,47
617,-47.50000000000,27.50000000000,7,47
680,-42.50000000000,-17.50000000000,7,47
681,-42.50000000000,-12.50000000000,7,47
682,-42.50000000000,-7.50000000000,7,47
683,-42.50000000000,-2.50000000000,7,47
684,-42.50000000000,2.50000000000,7,47
685,-42.50000000000,7.50000000000,7,47
686,-42.50000000000,12.50000000000,7,47
687,-42.50000000000,17.50000000000,7,47
688,-42.50000000000,22.50000000000,7,47
689,-42.50000000000,27.50000000000,7,47
752,-37.50000000000,-17.50000000000,7,47
753,-37.50000000000,-12.50000000000,7,47
754,-37.50000000000,-7.50000000000,7,47
755,-37.50000000000,-2.50000000000,7,47
756,-37.50000000000,2.50000000000,7,47
757,-37.50000000000,7.50000000000,7,47
758,-37.50000000000,12.50000000000,7,47
759,-37.50000000000,17.50000000000,7,47
760,-37.50000000000,22.50000000000,7,47
761,-37.50000000000,27.50000000000,7,47
824,-32.50000000000,-17.50000000000,7,47
825,-32.50000000000,-12.50000000000,7,47
826,-32.50000000000,-7.50000000000,7,47
827,-32.50000000000,-2.50000000000,7,47
828,-32.50000000000,2.50000000000,7,47
829,-32.50000000000,7.50000000000,7,47
830,-32.50000000000,12.50000000000,7,47
831,-32.50000000000,17.50000000000,7,47
